Empresa,Ticker,Setor,"Valor de Mercado",P/L,P/VP,LPA,ROE,ROIC,"Margem Líquida","Margem Bruta","Margem EBITDA","CAGR de Lucro","CAGR de Receita","Dívida Líq. / EBITDA","Liquidez Corrente"
"SANTANDER BR",SANB11,Financeiro,110027057994.61,8.86,0.92,1.56,0.0971,,0.0776,0.3547,,-0.0514,0.2095,,
RIOSULENSE,RSUL4,"Consumo Discricionário",153082053.75,5.64,1.33,10.61,0.2449,0.2267,0.1533,0.4201,0.2441,0.2181,0.1658,-0.58,2.74
"PET MANGUINH",RPMG3,Energia,142152420.9,-0.09,-0.02,-24.50,0.2457,0.2697,-0.1919,-0.1443,-0.2053,,0.4531,0.03,0.76
ROMI,ROMI3,Indústria,654990351.41,7.83,0.53,0.91,0.0693,0.1555,0.0642,0.2792,0.3137,-0.1337,0.0639,1.31,2.35
"ROSSI RESID",RSID3,Imobiliário,33854580.68,0.42,-0.05,4.21,-0.0971,0.0553,0.5826,0.1773,-0.2000,,0.1921,-12.27,0.67
LOCALIZA,RENT3,Indústria,50670786383,28.16,2.07,1.67,0.0731,0.0919,0.0449,0.2664,0.3292,0.1234,0.3230,2.40,1.20
PETRORECSA,RECV3,Energia,3985351471.08,3.36,0.95,4.18,0.2755,0.0941,0.3883,0.3235,0.4758,,,0.99,3.48
REAGINVEST,REAG3,"Software de Aplicativo",156500904.66,-0.28,0.75,-2.74,-1.5535,-0.1050,-5.9329,0.8875,-0.4048,,,0.69,2.36
"REDE D OR",RDOR3,Saúde,86329223568.9,19.03,4.61,2.05,0.1953,0.1188,0.0841,0.2185,0.2092,0.6138,0.3177,0.49,2.79
"REDE ENERGIA",REDE3,Utilities,16179686705.7,13.30,2.59,0.47,0.2550,0.1406,0.0621,0.2596,0.2591,0.0575,0.1141,3.23,1.56
RENOVA,RNEW3,Utilities,405447494.26,-2.41,0.33,-0.43,-0.1445,-0.0173,-0.3150,-0.0720,0.1907,-0.2898,0.4884,6.77,0.84
RNI,RDNI3,"Construção Baixa renda",93229691.04,-0.47,1.25,-4.55,-1.2139,-0.1213,-0.5699,0.1049,-0.2222,-0.0963,0.0198,-6.07,1.39
IRANI,RANI3,Materiais,2171321482.98,9.30,1.55,1.05,0.1693,0.1120,0.1435,0.4153,0.3913,0.2115,0.1037,1.62,2.77
RAIADROGASIL,RADL3,"Consumo Básico",40830159115.2,31.79,5.63,0.74,0.1888,0.2328,0.0293,0.2930,0.1059,0.2177,0.1714,0.71,1.46
RAIZEN,RAIZ4,Energia,693057819,-0.03,-0.43,-16.38,-1.9320,0.0114,-0.0958,0.0396,0.0453,,,5.83,1.69
